Repository,Tool,Total_Components,Is_Empty,Execution_Time,Repository_Size,Java_Size,Type_algorithm,Type_related-crypto-material,Type_protocol,Type_library,Type_framework
DataX,deepseek,4,False,34.63,22958,3886,0,0,0,4,0
netty,cbomkit,13,False,52.5,100309,22261,7,5,1,0,0
netty,cdxgen,0,True,145.96,100309,22261,0,0,0,0,0
netty,deepseek,10,False,38.77,100309,22261,0,0,0,10,0
hello-algo,cbomkit,0,True,1.04,362691,597,0,0,0,0,0
hello-algo,cdxgen,0,True,2.03,362691,597,0,0,0,0,0
hello-algo,deepseek,0,True,8.39,362691,597,0,0,0,0,0
flink,cbomkit,3,False,195.1,526482,97510,3,0,0,0,0
flink,cdxgen,518,False,610.38,526482,97510,0,0,0,264,254
flink,deepseek,8,False,27.99,526482,97510,0,0,0,8,0
GitHub-Chinese-Top-Charts,cbomkit,0,True,0.36,123199,0,0,0,0,0,0
GitHub-Chinese-Top-Charts,cdxgen,0,True,1.8,123199,0,0,0,0,0,0
GitHub-Chinese-Top-Charts,deepseek,0,True,7.99,123199,0,0,0,0,0,0
Chat2DB,cbomkit,18,False,15.24,18672,2672,11,7,0,0,0
Chat2DB,cdxgen,255,False,89.0,18672,2672,0,0,0,169,86
Chat2DB,deepseek,5,False,21.47,18672,2672,0,0,0,5,0
xxl-job,cbomkit,2,False,3.06,37692,786,1,0,1,0,0
xxl-job,cdxgen,22,False,18.55,37692,786,0,0,0,5,17
xxl-job,deepseek,4,False,20.08,37692,786,0,0,0,4,0
presto,cbomkit,19,False,193.38,243976,60228,9,9,1,0,0
presto,cdxgen,35,False,409.21,243976,60228,0,0,0,29,6
presto,deepseek,6,False,37.27,243976,60228,0,0,0,6,0
advanced-java,cbomkit,0,True,0.36,26586,0,0,0,0,0,0
advanced-java,cdxgen,0,True,1.7,26586,0,0,0,0,0,0
advanced-java,deepseek,1,False,15.52,26586,0,0,0,0,1,0
jadx,cbomkit,3,False,28.6,24136,4438,3,0,0,0,0
jadx,cdxgen,254,False,31.62,24136,4438,0,0,0,211,43
jadx,deepseek,6,False,26.77,24136,4438,0,0,0,6,0
lottie-android,cbomkit,1,False,4.39,137247,883,1,0,0,0,0
lottie-android,cdxgen,542,False,29.58,137247,883,0,0,0,536,6
lottie-android,deepseek,0,True,9.78,137247,883,0,0,0,0,0
tech-interview-for-developer,cbomkit,0,True,0.4,6616,15,0,0,0,0,0
tech-interview-for-developer,cdxgen,0,True,1.79,6616,15,0,0,0,0,0
tech-interview-for-developer,deepseek,0,True,8.53,6616,15,0,0,0,0,0
DSA-Bootcamp-Java,cbomkit,0,True,0.42,101640,238,0,0,0,0,0
DSA-Bootcamp-Java,cdxgen,0,True,1.84,101640,238,0,0,0,0,0
DSA-Bootcamp-Java,deepseek,0,True,8.38,101640,238,0,0,0,0,0
dataease,cbomkit,31,False,16.65,316300,15254,5,26,0,0,0
dataease,cdxgen,352,False,76.4,316300,15254,0,0,0,246,106
dataease,deepseek,5,False,21.45,316300,15254,0,0,0,5,0
AndroidUtilCode,cbomkit,248,False,10.12,47329,2314,18,229,1,0,0
AndroidUtilCode,cdxgen,0,True,6.69,47329,2314,0,0,0,0,0
AndroidUtilCode,deepseek,5,False,28.19,47329,2314,0,0,0,5,0
interviews,cbomkit,0,True,0.51,24462,658,0,0,0,0,0
interviews,cdxgen,0,True,1.77,24462,658,0,0,0,0,0
interviews,deepseek,0,True,7.71,24462,658,0,0,0,0,0
conductor,cbomkit,0,True,15.99,36354,4623,0,0,0,0,0
conductor,cdxgen,803,False,126.54,36354,4623,0,0,0,603,200
conductor,deepseek,5,False,31.92,36354,4623,0,0,0,5,0
ruoyi-vue-pro,cbomkit,0,True,33.09,180629,9700,0,0,0,0,0
ruoyi-vue-pro,cdxgen,0,True,64.66,180629,9700,0,0,0,0,0
ruoyi-vue-pro,deepseek,5,False,21.41,180629,9700,0,0,0,5,0
guava,cbomkit,12,False,41.74,560769,26514,8,4,0,0,0
guava,cdxgen,54,False,62.03,560769,26514,0,0,0,43,11
guava,deepseek,5,False,19.77,560769,26514,0,0,0,5,0
material-components-android,cbomkit,0,True,1.52,167269,7263,0,0,0,0,0
material-components-android,cdxgen,0,True,37.4,167269,7263,0,0,0,0,0
material-components-android,deepseek,4,False,22.25,167269,7263,0,0,0,4,0
fastjson,cbomkit,0,True,9.76,15513,7313,0,0,0,0,0
fastjson,cdxgen,209,False,7.07,15513,7313,0,0,0,110,99
fastjson,deepseek,6,False,23.32,15513,7313,0,0,0,6,0
halo,cbomkit,5,False,18.7,77673,3839,3,2,0,0,0
halo,cdxgen,247,False,21.96,77673,3839,0,0,0,147,100
halo,deepseek,7,False,28.07,77673,3839,0,0,0,7,0
eladmin,cbomkit,12,False,3.42,7461,761,5,7,0,0,0
eladmin,cdxgen,222,False,24.47,7461,761,0,0,0,141,81
eladmin,deepseek,4,False,24.4,7461,761,0,0,0,4,0
mall,cbomkit,0,True,11.03,58703,2688,0,0,0,0,0
mall,cdxgen,238,False,24.48,58703,2688,0,0,0,142,96
mall,deepseek,5,False,26.96,58703,2688,0,0,0,5,0
mybatis-3,cbomkit,0,True,5.76,158236,3685,0,0,0,0,0
mybatis-3,cdxgen,49,False,27.68,158236,3685,0,0,0,40,9
mybatis-3,deepseek,5,False,20.66,158236,3685,0,0,0,5,0
keycloak,cbomkit,65,False,108.88,546769,35776,30,34,1,0,0
keycloak,cdxgen,463,False,370.21,546769,35776,0,0,0,175,288
keycloak,deepseek,10,False,39.41,546769,35776,0,0,0,10,0
LSPosed,cbomkit,1,False,6.86,21605,1125,1,0,0,0,0
LSPosed,cdxgen,0,True,77.44,21605,1125,0,0,0,0,0
LSPosed,deepseek,7,False,22.91,21605,1125,0,0,0,7,0
canal,cbomkit,10,False,27.64,24137,3449,7,2,1,0,0
canal,cdxgen,31,False,111.78,24137,3449,0,0,0,15,16
canal,deepseek,10,False,51.52,24137,3449,0,0,0,10,0
yudao-cloud,cbomkit,0,True,33.62,43302,9538,0,0,0,0,0
yudao-cloud,cdxgen,0,True,159.7,43302,9538,0,0,0,0,0
yudao-cloud,deepseek,6,False,37.97,43302,9538,0,0,0,6,0
ghidra,cbomkit,18,False,511.68,387027,94199,11,6,1,0,0
ghidra,cdxgen,0,True,14.13,387027,94199,0,0,0,0,0
ghidra,deepseek,9,False,27.93,387027,94199,0,0,0,9,0
kestra,cbomkit,10,False,22.89,62785,5594,3,7,0,0,0
kestra,cdxgen,472,False,58.15,62785,5594,0,0,0,258,214
kestra,deepseek,10,False,32.7,62785,5594,0,0,0,10,0
arthas,cbomkit,0,True,12.31,55550,2495,0,0,0,0,0
arthas,cdxgen,215,False,61.64,55550,2495,0,0,0,129,86
arthas,deepseek,10,False,29.79,55550,2495,0,0,0,10,0
skywalking,cbomkit,4,False,32.96,173170,8063,2,2,0,0,0
skywalking,cdxgen,447,False,175.22,173170,8063,0,0,0,236,211
skywalking,deepseek,7,False,36.95,173170,8063,0,0,0,7,0
RxAndroid,cbomkit,0,True,0.52,1045,62,0,0,0,0,0
RxAndroid,cdxgen,0,True,9.8,1045,62,0,0,0,0,0
RxAndroid,deepseek,0,True,8.11,1045,62,0,0,0,0,0
redisson,cbomkit,1,False,43.52,31683,17830,1,0,0,0,0
redisson,cdxgen,135,False,246.17,31683,17830,0,0,0,80,55
redisson,deepseek,3,False,19.89,31683,17830,0,0,0,3,0
analysis-ik,cbomkit,0,True,0.97,7696,134,0,0,0,0,0
analysis-ik,cdxgen,10,False,44.98,7696,134,0,0,0,5,5
analysis-ik,deepseek,2,False,13.68,7696,134,0,0,0,2,0
proxyee-down,cbomkit,1,False,1.56,26864,156,1,0,0,0,0
proxyee-down,cdxgen,55,False,15.6,26864,156,0,0,0,18,37
proxyee-down,deepseek,4,False,23.82,26864,156,0,0,0,4,0
miaosha,cbomkit,0,True,2.43,65716,1688,0,0,0,0,0
miaosha,cdxgen,121,False,49.45,65716,1688,0,0,0,64,57
miaosha,deepseek,5,False,30.51,65716,1688,0,0,0,5,0
apollo,cbomkit,0,True,7.78,56641,2583,0,0,0,0,0
apollo,cdxgen,55,False,51.97,56641,2583,0,0,0,32,23
apollo,deepseek,6,False,20.94,56641,2583,0,0,0,6,0
glide,cbomkit,1,False,10.27,97630,3283,1,0,0,0,0
glide,cdxgen,0,True,21.99,97630,3283,0,0,0,0,0
glide,deepseek,3,False,17.29,97630,3283,0,0,0,3,0
kafka,cbomkit,0,True,0.81,252192,57257,0,0,0,0,0
kafka,cdxgen,479,False,36.73,252192,57257,0,0,0,273,206
kafka,deepseek,5,False,36.29,252192,57257,0,0,0,5,0
zxing,cbomkit,0,True,8.58,242775,2554,0,0,0,0,0
zxing,cdxgen,47,False,19.5,242775,2554,0,0,0,41,6
zxing,deepseek,5,False,19.88,242775,2554,0,0,0,5,0
gson,cbomkit,0,True,3.0,13706,1848,0,0,0,0,0
gson,cdxgen,12,False,21.22,13706,1848,0,0,0,11,1
gson,deepseek,1,False,17.98,13706,1848,0,0,0,1,0
Android-Universal-Image-Loader,cbomkit,1,False,1.73,27133,340,1,0,0,0,0
Android-Universal-Image-Loader,cdxgen,0,True,11.68,27133,340,0,0,0,0,0
Android-Universal-Image-Loader,deepseek,2,False,12.75,27133,340,0,0,0,2,0
fresco,cbomkit,3,False,10.5,77780,2600,3,0,0,0,0
fresco,cdxgen,0,True,80.36,77780,2600,0,0,0,0,0
fresco,deepseek,5,False,35.15,77780,2600,0,0,0,5,0
thingsboard,cbomkit,10,False,65.23,304572,21037,5,4,1,0,0
thingsboard,cdxgen,121,False,401.79,304572,21037,0,0,0,78,43
thingsboard,deepseek,7,False,40.39,304572,21037,0,0,0,7,0
Java,cbomkit,4,False,8.49,6243,3168,2,2,0,0,0
Java,cdxgen,15,False,6.39,6243,3168,0,0,0,13,2
Java,deepseek,7,False,29.63,6243,3168,0,0,0,7,0
termux-app,cbomkit,1,False,6.23,4670,1987,1,0,0,0,0
termux-app,cdxgen,0,True,15.99,4670,1987,0,0,0,0,0
termux-app,deepseek,9,False,25.93,4670,1987,0,0,0,9,0
shardingsphere,cbomkit,10,False,88.74,663695,23793,7,3,0,0,0
shardingsphere,cdxgen,575,False,1057.7,663695,23793,0,0,0,213,362
shardingsphere,deepseek,12,False,35.06,663695,23793,0,0,0,12,0
Ehviewer_CN_SXJ,cbomkit,3,False,17.33,13736,3385,2,0,1,0,0
Ehviewer_CN_SXJ,cdxgen,0,True,47.16,13736,3385,0,0,0,0,0
Ehviewer_CN_SXJ,deepseek,4,False,32.76,13736,3385,0,0,0,4,0
Sentinel,cbomkit,1,False,14.13,8335,3826,0,0,1,0,0
Sentinel,cdxgen,1122,False,246.85,8335,3826,0,0,0,549,573
Sentinel,deepseek,5,False,18.88,8335,3826,0,0,0,5,0
nacos,cbomkit,20,False,31.57,63250,14551,5,14,1,0,0
nacos,cdxgen,43,False,96.19,63250,14551,0,0,0,40,3
nacos,deepseek,7,False,46.35,63250,14551,0,0,0,7,0
java-design-patterns,cbomkit,0,True,12.5,46869,4512,0,0,0,0,0
java-design-patterns,cdxgen,257,False,387.61,46869,4512,0,0,0,171,86
java-design-patterns,deepseek,0,True,8.6,46869,4512,0,0,0,0,0
SmartRefreshLayout,cbomkit,0,True,6.16,274026,1029,0,0,0,0,0
SmartRefreshLayout,cdxgen,144,False,24.22,274026,1029,0,0,0,140,4
SmartRefreshLayout,deepseek,0,True,8.22,274026,1029,0,0,0,0,0
JavaGuide,cbomkit,0,True,0.41,177301,6,0,0,0,0,0
JavaGuide,cdxgen,0,True,1.74,177301,6,0,0,0,0,0
JavaGuide,deepseek,6,False,20.96,177301,6,0,0,0,6,0
hutool,cbomkit,1164,False,35.88,69484,7954,9,1154,1,0,0
hutool,cdxgen,329,False,53.48,69484,7954,0,0,0,236,93
hutool,deepseek,15,False,57.51,69484,7954,0,0,0,15,0
HikariCP,cbomkit,0,True,1.82,5020,664,0,0,0,0,0
HikariCP,cdxgen,65,False,10.85,5020,664,0,0,0,56,9
HikariCP,deepseek,4,False,18.42,5020,664,0,0,0,4,0
graal,cbomkit,1,False,26.59,444870,116244,1,0,0,0,0
graal,cdxgen,57,False,170.75,444870,116244,0,0,0,56,1
graal,deepseek,9,False,29.43,444870,116244,0,0,0,9,0
JeecgBoot,cbomkit,13,False,16.85,77642,9694,5,7,1,0,0
JeecgBoot,cdxgen,761,False,85.18,77642,9694,0,0,0,442,319
JeecgBoot,deepseek,7,False,35.7,77642,9694,0,0,0,7,0
JustAuth,cbomkit,18,False,3.5,9643,569,5,13,0,0,0
JustAuth,cdxgen,21,False,7.6,9643,569,0,0,0,17,4
JustAuth,deepseek,8,False,31.49,9643,569,0,0,0,8,0
openapi-generator,cbomkit,1,False,128.43,921882,9498,0,0,1,0,0
openapi-generator,cdxgen,2429,False,1970.15,921882,9498,0,0,0,1374,1055
openapi-generator,deepseek,6,False,27.22,921882,9498,0,0,0,6,0
NewPipe,cbomkit,0,True,12.21,79465,2601,0,0,0,0,0
NewPipe,cdxgen,348,False,24.64,79465,2601,0,0,0,320,28
NewPipe,deepseek,6,False,21.22,79465,2601,0,0,0,6,0
antlr4,cbomkit,1,False,12.07,70578,2380,1,0,0,0,0
antlr4,cdxgen,0,True,30.59,70578,2380,0,0,0,0,0
antlr4,deepseek,0,True,7.97,70578,2380,0,0,0,0,0
tutorials,cbomkit,80,False,120.47,113618,31475,27,50,3,0,0
tutorials,cdxgen,17877,False,4423.52,113618,31475,0,0,0,8931,8946
tutorials,deepseek,8,False,41.17,113618,31475,0,0,0,8,0
SmartTube,cbomkit,8,False,43.43,99275,13925,4,2,2,0,0
SmartTube,cdxgen,0,True,10.9,99275,13925,0,0,0,0,0
SmartTube,deepseek,4,False,39.18,99275,13925,0,0,0,4,0
disruptor,cbomkit,0,True,2.08,10129,918,0,0,0,0,0
disruptor,deepseek,0,True,8.86,10129,918,0,0,0,0,0
ExoPlayer,cbomkit,7,False,42.29,484242,17832,5,2,0,0,0
ExoPlayer,cdxgen,256,False,103.37,484242,17832,0,0,0,233,23
ExoPlayer,deepseek,6,False,25.27,484242,17832,0,0,0,6,0
Sa-Token,cbomkit,18,False,8.85,8793,2610,10,8,0,0,0
Sa-Token,cdxgen,935,False,303.47,8793,2610,0,0,0,429,506
Sa-Token,deepseek,3,False,28.38,8793,2610,0,0,0,3,0
Apktool,cbomkit,0,True,3.41,338820,682,0,0,0,0,0
Apktool,cdxgen,27,False,28.75,338820,682,0,0,0,25,2
Apktool,deepseek,7,False,38.02,338820,682,0,0,0,7,0
leetcode,cbomkit,0,True,1.67,644085,2882,0,0,0,0,0
leetcode,cdxgen,0,True,4.17,644085,2882,0,0,0,0,0
leetcode,deepseek,0,True,7.6,644085,2882,0,0,0,0,0
MPAndroidChart,cbomkit,0,True,6.37,21593,1286,0,0,0,0,0
MPAndroidChart,cdxgen,9,False,20.68,21593,1286,0,0,0,7,2
MPAndroidChart,deepseek,1,False,12.65,21593,1286,0,0,0,1,0
dubbo,cbomkit,10,False,44.89,60127,17312,6,4,0,0,0
dubbo,cdxgen,694,False,315.54,60127,17312,0,0,0,314,380
dubbo,deepseek,10,False,37.07,60127,17312,0,0,0,10,0
spring-boot,cbomkit,11,False,59.86,197878,27126,5,5,1,0,0
spring-boot,cdxgen,1174,False,443.45,197878,27126,0,0,0,771,403
spring-boot,deepseek,5,False,25.28,197878,27126,0,0,0,5,0
source-code-hunter,cbomkit,0,True,0.46,71134,0,0,0,0,0,0
source-code-hunter,cdxgen,0,True,1.73,71134,0,0,0,0,0,0
source-code-hunter,deepseek,6,False,20.33,71134,0,0,0,0,6,0
bazel,cbomkit,0,True,2.86,976903,42295,0,0,0,0,0
bazel,cdxgen,0,True,5.61,976903,42295,0,0,0,0,0
bazel,deepseek,8,False,25.99,976903,42295,0,0,0,8,0
